Date,Total Market Cap
2013-04-28,1596170359
2013-05-05,1341783003
2013-05-12,1367920068
2013-05-19,1448321940
2013-05-26,1548982054
2013-06-02,1487465388
2013-06-09,1199680597
2013-06-16,1177742456
2013-06-23,1287573810
2013-06-30,1147557238
2013-07-07,830146595
2013-07-14,1161533246
2013-07-21,1097986535
2013-07-28,1157533995
2013-08-04,1275693626
2013-08-11,1296558595
2013-08-18,1424107173
2013-08-25,1511079645
2013-09-01,1703496662
2013-09-08,1563491508
2013-09-15,1631369963
2013-09-22,1647606824
2013-09-29,1801705464
2013-10-06,1659752203
2013-10-13,1739052069
2013-10-20,2156966866
2013-10-27,2276740217
2013-11-03,2593828481
2013-11-10,3972643650
2013-11-17,5703249718
2013-11-24,9553072881
2013-12-01,14812595350
2013-12-08,9826617125
2013-12-15,11588330056
2013-12-22,8360331573
2013-12-29,10059549969
2014-01-05,11955531972
2014-01-12,12377706930
2014-01-19,11466918006
2014-01-26,11782845862
2014-02-02,11584562132
2014-02-09,9339319289
2014-02-16,9116148264
2014-02-23,8629675781
2014-03-02,8047576170
2014-03-09,8891659945
2014-03-16,9054488746
2014-03-23,8130842527
2014-03-30,6753098695
2014-04-06,6464272211
2014-04-13,5916867951
2014-04-20,7134180091
2014-04-27,6379308587
2014-05-04,6107151126
2014-05-11,6347543582
2014-05-18,6343013189
2014-05-25,7723842476
2014-06-01,8899300428
2014-06-08,9139364991
2014-06-15,7966417348
2014-06-22,8446698687
2014-06-29,8378420750
2014-07-06,8764958659
2014-07-13,8765659876
2014-07-20,8739981164
2014-07-27,8331235978
2014-08-03,8200944132
2014-08-10,8240468013
2014-08-17,7124713292
2014-08-24,7045169731
2014-08-31,7120182259
2014-09-07,7002651139
2014-09-14,6949393459
2014-09-21,5903351978
2014-09-28,5889518461
2014-10-05,4886530134
2014-10-12,5339374105
2014-10-19,5781856865
2014-10-26,5194706251
2014-11-02,4828026369
2014-11-09,5159999758
2014-11-16,5667190062
2014-11-23,5406803471
2014-11-30,5910223483
2014-12-07,5916603550
2014-12-14,5615032280
2014-12-21,5614558033
2014-12-28,5513974470
2015-01-04,4843378229
2015-01-11,4687091973
2015-01-18,3480884631
2015-01-25,4235480436
2015-02-01,3672466193
2015-02-08,3836695718
2015-02-15,4315056307
2015-02-22,4077481977
2015-03-01,4192958202
2015-03-08,4440504529
2015-03-15,4568057299
2015-03-22,4212674690
2015-03-29,3995745991
2015-04-05,4066547172
2015-04-12,3801149696
2015-04-19,3616796252
2015-04-26,3561088935
2015-05-03,3817842473
2015-05-10,3858913216
2015-05-17,3776670853
2015-05-24,3868851563
2015-05-31,3845089985
2015-06-07,3728604309
2015-06-14,3861919170
2015-06-21,4186029377
2015-06-28,4285154545
2015-07-05,4477196171
2015-07-12,5037619957
2015-07-19,4600375004
2015-07-26,4842520266
2015-08-02,4680973917
2015-08-09,4480790382
2015-08-16,4492434387
2015-08-23,4018440648
2015-08-30,3984261566
2015-09-06,4141119952
2015-09-13,4060630694
2015-09-20,3991438483
2015-09-27,3992859056
2015-10-04,4026885684
2015-10-11,4108484676
2015-10-18,4467946282
2015-10-25,4727789381
2015-11-01,5235702497
2015-11-08,6275443112
2015-11-15,5447570275
2015-11-22,5344347673
2015-11-29,5837450315
2015-12-06,6453204158
2015-12-13,7179188197
2015-12-20,7519272202
2015-12-27,6840297446
2016-01-03,7092584989
2016-01-10,7305907940
2016-01-17,6397801172
2016-01-24,6601083549
2016-01-31,6520046543
2016-02-07,6590984823
2016-02-14,7135748988
2016-02-21,7799210820
2016-02-28,7724666960
2016-03-06,7746669089
2016-03-13,8252504324
2016-03-20,7920358112
2016-03-27,8113615106
2016-04-03,8193634114
2016-04-10,7912394455
2016-04-17,8090053223
2016-04-24,8455842338
2016-05-01,8421018669
2016-05-08,8617017640
2016-05-15,8663457781
2016-05-22,8797343300
2016-05-29,9962621877
2016-06-05,11143206542
2016-06-12,12043221786
2016-06-19,13889291614
2016-06-26,12532910075
2016-07-03,12977161091
2016-07-10,12254585336
2016-07-17,12882712904
2016-07-24,12879741553
2016-07-31,12492651746
2016-08-07,11638999573
2016-08-14,11560008512
2016-08-21,11515550201
2016-08-28,11262427474
2016-09-04,11840864472
2016-09-11,12315622956
2016-09-18,12111060135
2016-09-25,12082621564
2016-10-02,12218420453
2016-10-09,12253602442
2016-10-16,12574237580
2016-10-23,12925569597
2016-10-30,13464251691
2016-11-06,13625430048
2016-11-13,13308374453
2016-11-20,14175410693
2016-11-27,13821769352
2016-12-04,14279353037
2016-12-11,14282041272
2016-12-18,14668771316
2016-12-25,16106710995
2017-01-01,17700314429
2017-01-08,17226633499
2017-01-15,15504127778
2017-01-22,17577144408
2017-01-29,17425370111
2017-02-05,19562507622
2017-02-12,18851257528
2017-02-19,19888575067
2017-02-26,21441719523
2017-03-05,23814432204
2017-03-12,23286701272
2017-03-19,22617338502
2017-03-26,23338083738
2017-04-02,26183745930
2017-04-09,27769105748
2017-04-16,28726619311
2017-04-23,29768209789
2017-04-30,35314184683
2017-05-07,46567887425
2017-05-14,55167232636
2017-05-21,72005640042
2017-05-28,73276551382
2017-06-04,90751855973
2017-06-11,110011644694
2017-06-18,112023564520
2017-06-25,109204337569
2017-07-02,94716493346
2017-07-09,96408401609
2017-07-16,68942981658
2017-07-23,95993194419
2017-07-30,88658230462
2017-08-06,111842319301
2017-08-13,135686106789
2017-08-20,145648855301
2017-08-27,156420433956
2017-09-03,166644412610
2017-09-10,141441127806
2017-09-17,120623655855
2017-09-24,129781697763
2017-10-01,146923833358
2017-10-08,150083109278
2017-10-15,174076873613
2017-10-22,171118712167
2017-10-29,170353228043
2017-11-05,199892277706
2017-11-12,200964455665
